ID,Title,Abstract,Text,Topic type,Categories,Author,Date added,Version date,Note
1,Verbrauchsdatum einhalten,,Frisches Fleisch ist immer mit einem Verbrauchsdatum versehen. Anders als ein Mindesthaltbarkeitsdatum müssen diese Produkte bis zu diesem Verbrauchsdatum verarbeitet sein.,refrigerator_storage,Fresh meats,Micha Gattinger,2020-08-05,2020-08-22,
2,Verdorbenes Fleisch erkennen,,"##  Farbe

Der Farbton von frischem Fleisch ist rötlich. Verfärbt sich frisches Fleisch gräulich, kann eine chemische Reaktion stattgefunden haben, welche sich nicht auf Geschmack oder Frische der Ware auswirkt. Das Protein Myoblobin ist ein in der Muskulatur vorhandener, als Sauerstoffspeicher dienender roter Farbstoff. Fehlt Sauerstoff, oxidiert dieser zu Metmyoglobin, das im Fleisch enthaltene Eisen verfärbt sich. Kommen diese Stellen mit Sauerstoff in Verbindung, geht diese Verfärbung innerhalb von einigen Minuten merklich zurück (1,3).

Bei vielen Fleischprodukten wird durch Zusatzstoffe oder mit durch Spezialgas gefüllte Schutzverpackungen (High O2-MAP) die natürliche Rötung erhöht und verlängert. Hier ist die Färbung künstlich und sagt nichts über die Frische aus. Färbt sich Fleisch grau, ist das ein Zeichen dafür, dass keine Zusatzstoffe verwendet worden sind (2). 

Bei tiefgefrorenem, rohem Fleisch kann es zu weißen Stellen am Fleisch kommen (Gefrierbrand). Die Textur ähnelt einem trockenem Schwamm und wird durch die Verdunstung von Wasser im Gewebe verursacht. Gefrierbrand ist unbedenklich für die Gesundheit.

## Austretende Flüssigkeit

Um das Verkaufsgewicht zu erhöhen wird oft Wasser in das Fleisch gespritzt. Tritt roter Saft aus dem Fleisch aus, ist das kein Blut sondern Wasser vermischt mit dem Protein Myoglobin. 

## Geruch

Frisches Fleisch ist geruchslos. Muffiger, süßlicher oder derb säuerlicher Geruch sind sichere Anzeichen von verdorbenem rohen Fleisch.",assessment,Fresh meats,Micha Gattinger,2020-08-05,2020-08-22,
3,Verdorbenen Fisch erkennen,,"## Optische Merkmale

* *Augen.* Frischer Fisch hat helle, klare, leicht vorgewölbte Augen mit dunklen Pupillen. Verfärbte, eingesunkene Augen sind klare Anzeichen für schlechten Fisch. 

* *Fleisch.* In der Regel hat das Fleisch eine hellrosa oder weiße Farbe mit einem klaren Flüssigkeitsfilm. Fängt der Fisch an zu verderben bekommt das Fleisch eine milchige Farbe mit zum Teil grau-blauen Verfärbungen

* *Haut.* Frische Fischhaut ist mit einer klaren Schleimschicht überzogen. Milchiger Schleim ist ein Indiz für schlechten Fisch.

* *Kiemen.* Diese glänzen, sind innen hellrot und liegen bei einem frischen Fisch fest an. Schleim in den Kiemenblättchen und  gelb- braune Verfärbungen sind Anzeichen von Verfall.

## Geruch

Frischer Fisch riecht je nach Art nach See, Meer oder Bach, nie fischig. Je mehr der Fisch fischig riecht, umso älter und ungenießbarer ist er.",assessment,Raw fishes,Micha Gattinger,2020-08-05,2020-08-22,
4,Das Alter beurteilen,,"Legefrische Eier erlangen nach drei Tagen für 14 Tage ihr volles Aroma. Danach verändert sich langsam die Konsistenz. Ein unsichtbarer Mantel auf der Schale und Enzyme im Eiklar sorgt für einen natürlichen Selbstschutz gegen die Vermehrung von Keimen. Dieser Schutz mag keine extremen Temperaturschwankungen, Sonne und Feuchtigkeit. 

Hier gibt es drei einfache Tests um die Frische von Eier zu bestimmen:

. *Schwimmtest.* Mit der Zeit sammelt sich Luft im Inneren eines Eies. In einem frischen Ei ist noch keine Luft eingedrungen. So sinkt es im kalten Wasser immer auf den Boden. 2-3 Wochen alte Eier stellen sich teilweise auf oder schwimmen schon im Wasser. Schwimmen Eier unter der Wasseroberfläche, ist das MHD von 28 Tagen erreicht. 

. *Schütteltest.* Mit der Zeit wird das Eiklar dünnflüssiger. Dies verursacht dem Schütteln glucksende Geräusche.

. *Aufschlagtest.* Frische Eier haben ein hochgewölbtes Dotter. Das Eiklar ist am Dotter geleeartig mit dünnerem herum, Dotter und Eiklar sind klar getrennt. Mit dem Alter flacht das Dotter ab und verliert an Farbe. Das Eiklar wird dünnflüssiger und vermischt sich mit dem Dotter.

https://rp.baden-wuerttemberg.de/Themen/Lebensmittel/Seiten/Eiertest.aspx[Quelle]",assessment,Raw egg,Micha Gattinger,2020-08-05,2020-08-25,
5,Überalterte Eier verwenden,,"Das Mindesthaltbarkeitsdaym für rohe Eiern beträgt 28 Tage ab Legedatum.

Sofern überalterte Eier geruchsfrei und optisch noch in Ordnung sind, können diese noch zum Backen genommen werden. Die hohe Backtemperatur und Backdauer tötet Keime und Salmonellen sicher ab. (S. 1.3)

https://rp.baden-wuerttemberg.de/Themen/Lebensmittel/Seiten/Eiertest.aspx[Quelle]",post_spoilage,Raw egg,Micha Gattinger,2020-08-05,2020-08-22,
6,Einfrieren,,"Rohe Eier lassen sich nicht mit Schale einfrieren. Ein rohes Ei enthält viel Wasser. Beim Einfrieren dehnt sich dieses aus und sorgt für ein Aufplatzen der Schale.

Eigelb und Eiweiß aufgeschlagener roher Eier können aber in Behältern ohne weiteres eingefroren werden.",preservation,Raw egg,Micha Gattinger,2020-08-05,2020-08-22,
7,Kochen,,"Für eine lange Haltbarkeit müssen Eier in kochendem Wasser 10-12 Minuten hart gekocht werden. Die Eierschale nicht beschädigen, nur unbeschädigte Schalen gewährleisten einen Schutz vor Keime von Außen. Die gekochten Eier nicht abschrecken, denn hierbei bilden sich kleinste Spannungsrisse in der Schale welche das Eindringen von Keimen und Salmonellen begünstigen. So gekochte Eier können bis zu einem Monat bei Zimmertemperatur gelagert werden.

https://www.fitforfun.de/wissen/wie-lange-sind-gekochte-eier-haltbar-254273.html[Quelle]",preservation,Boiled eggs,Micha Gattinger,2020-08-05,2020-08-22,
8,Schwefelgeruch,,"Verdorbene gekochte Eier entwickeln einen unangenehmen Schwefelgeruch.

https://www.fitforfun.de/wissen/wie-lange-sind-gekochte-eier-haltbar-254273.html[Quelle]",assessment,Boiled eggs,Micha Gattinger,2020-08-05,2020-08-22,
9,Verfärbung des Dotters,,"Durchgekochte Eier bilden einen ungefährlichen blau-grünen Ring um das Dotter. Hier reagiert Eisen aus dem Dotter mit Schwefelwasserstoff aus dem Eiklar zu Schwefelsulfid.

https://www.fitforfun.de/wissen/wie-lange-sind-gekochte-eier-haltbar-254273.html[Quelle]",symptoms,Boiled eggs,Micha Gattinger,2020-08-05,2020-08-22,
10,Nicht zum Einfrieren geeignet,,Ganze gekochte Eier sind zum Einfrieren nicht geeignet da sich das Eiweiß verändert. Hartgekochte Eidotter lassen sich in einer luftdichten Verpackung gut einfrieren,freezer_storage,Boiled eggs,Micha Gattinger,2020-08-05,2020-08-22,
11,Frischen Kaviar erkennen,,"Frischer Kaviar klebt beim Öffnen nicht am Deckel und perlt locker. Er riecht nach Salzwasser und hat keinen Eigengeruch.

https://www.kaviar.de/faq[Quelle]",assessment,Caviars,Micha Gattinger,2020-08-05,2020-08-22,
12,,,"Der erhöhte Salzgehalt ermöglicht eine Lagertemperatur um + 2 Grad. Nach dem Öffnen der vakuumierten Verpackung ist die Haltbarkeit max. 3 Tage (gekühlt)

https://www.kaviar.de/faq[Quelle]",refrigerator_storage,Caviars,Micha Gattinger,2020-08-05,2020-08-22,
13,Nicht zum Einfrieren geeignet,,Kaviar kann nicht eingefroren werden da der Rogen beim Auftauen platzt.,freezer_storage,Caviars,Micha Gattinger,2020-08-05,2020-08-22,
14,Auch bei langer Lagerdauer unproblematisch,,"Dieses Lebensmittel gehört zur Gruppe der Lebensmittel, für die seit Dezember 2014 EU-weit keine Mindesthaltbarkeitsdaten mehr angegeben werden müssen, da sie auch bei langer Lagerungsdauer nicht verderben. Insgesamt gilt dies für folgende Lebensmittel:

* Wein, Likörwein, Schaumwein, aromatisiertem Wein und ähnlichen Erzeugnissen aus anderen Früchten als Weintrauben sowie aus Weintrauben oder Traubenmost gewonnenen Getränken des KN-Codes 2206 00
* Getränke mit einem Alkoholgehalt von 10 oder mehr Volumenprozent
* Essig
* Speisesalz
* Zucker in fester Form
* Zuckerwaren, die fast nur aus Zuckerarten mit Aromastoffen und/oder Farbstoffen bestehen
* Kaugummi und ähnlichen Erzeugnissen zum Kauen

https://www.sueddeutsche.de/wirtschaft/a-1.1967988[Quelle]",pantry_storage,"Wines
Fortified wines
Sparkling wines
Distilled beverages
Vinegars
Table salts
Granulated sugars
Powdered sugars
Chewing gum",Micha Gattinger,2020-08-05,2020-08-22,
15,Auch bei langer Lagerdauer meist unproblematisch,,"Dieses Lebensmittel gehört zu denjenigen, für die die Europäische Union überlegt hat, das Mindesthaltbarkeitsdatum abzuschaffen, sich dann aber doch dagegen entschieden hat. Trotzdem sind diese Lebensmittel auch bei langer Lagerdauer meist unproblematisch.

Insgesamt gehörten zu dieser Gruppe von Lebensmitteln: Nudeln aus Hartweizengries ohne Ei; Tee; Reis; Kaffee; Hartkäse.

https://www.sueddeutsche.de/wirtschaft/a-1.1967988[Quelle]",pantry_storage,"Durum wheat pasta
Teas
Rices
Coffees",Micha Gattinger,2020-08-05,2020-08-22,"Category “hard cheeses” missing. There is no such category in the OFF taxonomy, but we might enumerate the different hard cheeses."
16,Zwiebeln werden weich und faulig,,"Wenn Zwiebeln verderben, so fangen sie von innen an, weich zu werden und zu verfaulen.",assessment,Onions,Micha Gattinger,2020-08-05,2020-08-22,
17,Dunkel und trocken lagern,,"Zwiebeln können lange gelagert werden und sind recht anspruchslos. Die optimalen Lagerbedingungen für Zwiebeln sind ein dunkler und trockener Ort. Denn Helligkeit und Feuchtigkeit beschleunigen den Keimprozess; das heißt, aus der Zwiebel wachsen dann Triebe.",pantry_storage,Onions,Micha Gattinger,2020-08-05,2020-08-22,
18,"Verfault, gekeimt oder grün",,"Wenn Kartoffeln verderben, zeigen sie eine oder mehrere der folgenden optischen Veränderungen: ausgeprägtes Keimen; Grünverfärbung; oder Verfaulen.",assessment,Potatoes,Micha Gattinger,2020-08-05,2020-08-22,
19,"Kühl, trocken und dunkel lagern",,"Optimale Lagerung:

* optimale Lagertemperatur 4-6 Grad, jedoch nicht im Kühlschrank
* trocken und dunkel
* mit z.B. Papier luftdicht abdecken
* nicht mit Äpfel und Birnen zusammen lagern, denn diese geben das Reifungsgas Ethylen ab

Lagerfähigkeit: lange und anspruchslos",other_storage,Potatoes,Micha Gattinger,2020-08-05,2020-08-22,
20,Solaninvergiftung,,"Grüne Stellen enthalten viel Solanin. Die Gefahr einer Solaninvergiftung ist heute durch die modernen Zuchtarten praktisch verschwunden, kann aber einige unangenehme Erscheinungen auslösen. Solanin ist hitzebeständig und fettunlöslich. Durch abschneiden der grün verfärbten Stellen und der Keime verringert sich der Solaninanteil (23).",risks,Potatoes,Micha Gattinger,2020-08-05,2020-08-22,
21,Kartoffelsaft,,"Frisch aus rohen Kartoffeln gepresster Saft enthält viele Nährstoffe wie Kalium, ist ein sehr gutes Hausmittel gegen Sodbrennen (21) und ein gutes Mittel für die Hautpflege. Gepresster Kartoffelsaft in einer gut gefüllten,  luftdicht verschlossener Flasche hält sich im Kühlschrank ein paar Monate.

https://de.wikihow.com/Eine-Kartoffel-entsaften[Quelle]",preservation,Potatoes,Micha Gattinger,2020-08-05,2020-08-22,
22,Optische Veränderungen,,"Wenn eine Ananas verdirbt, wird sie weich und verfault.",assessment,Fresh pineapple,Micha Gattinger,2020-08-05,2020-08-22,
23,,,Ananas ist zur Aufbewahrung im Kühlschrank nicht geeignet.,refrigerator_storage,Fresh pineapple,Micha Gattinger,2020-08-05,2020-08-22,
24,Optimale Lagerbedingungen,,"Ananas ist nur kurz lagerfähig. Die optimalen Lagerbedingungen sind:

* auf Papierschnippseln oder Sägespänen
* bei Raumtemperatur
* Eine Prise Salz auf der Ananas verteilt senkt den Säureanteil und verlängert die Haltbarkeit.",pantry_storage,Fresh pineapple,Micha Gattinger,2020-08-05,2020-08-22,
25,Optische Veränderungen,,"Wenn ein Apfel altert, zeigen sich folgende optischen Veränderungen:

* Druckstellen
* braune Stellen
* schrumpelig
* faulige Stellen",assessment,Fresh apples,Micha Gattinger,2020-08-05,2020-08-22,
26,Optimale Lagerbedingungen,,"Äpfel sind lange und anspruchslos lagerfähig. Die optimalen Lagerbedingungen im Kühlschrank sind:

* im Gemüsefach
* dunkel und trocken ohne direkten Kontakt zueinander
* in mehrlagiges Zeitungspapier einwickeln
* mit dem Stiel nach unten",refrigerator_storage,Fresh apples,Micha Gattinger,2020-08-05,2020-08-22,
27,Optische Veränderungen,,"Wenn Steinobst oder Beeren verderben, zeigen sich folgende optischen Veränderungen:

* Druckstellen
* weich / matschig
* verfault",assessment,"Fresh apricots
Fresh cherries
Fresh plums
Fresh peaches
Fresh nectarines
Berries",Micha Gattinger,2020-08-05,2020-08-22,
28,Optimale Lagerbedingungen,,"Unter optimalen Bedingungen und je nach Reifegrad können Steinobst und Beeren bis zu einer Woche gelagert werden. Optimale Bedingungen sind:

* die Verkaufsverpackung entfernen
* nebeneinander auf weichem Untergrund lagern
* schattig und luftig lagern
* nach dem Ausreifen bei 2-8 °C im Kühlschrank lagern
* mit Stiel lagern (ohne entweicht Feuchtigkeit und Keime gelangen in die Frucht)
* erst unmittelbar vor dem Verzehr waschen (sonst dringt die Feuchtigkeit in die Frucht)
* Pflaumen, Pfirsiche und Aprikosen nicht mit anderem Obst oder Gemüse lagern da diese das natürliche Reifegas Ethylen absondern",refrigerator_storage,"Fresh apricots
Fresh cherries
Fresh plums
Fresh peaches
Fresh nectarines
Berries",Micha Gattinger,2020-08-05,2020-08-22,
29,Optische Veränderungen,,"Wenn Steinobst oder Beeren verderben, zeigen sich folgende optischen Veränderungen:

* Druckstellen
* matschig
* verfault",assessment,Fresh mushrooms,Micha Gattinger,2020-08-05,2020-08-22,
30,Optimale Lagerbedingungen,,"Unter optimalen Bedingungen können Pilze bis 3 Tage gelagert werden. Optimale Bedingungen sind:

* aus der Verkaufsverpackung nehmen
* bei 2-8 Grad dunkel lagern
* nicht quetschen
* luftig in einer Papiertüte lagern

Hinweis: Pilze reifen nicht nach.

https://www.topagrar.com/landleben/kochen-und-backen/familie-kochen-backen-kuechentipps-wie-man-pilze-richtig-lagert-9385212.html[Quelle]",refrigerator_storage,Fresh mushrooms,Micha Gattinger,2020-08-05,2020-08-22,
31,Optische Veränderungen,,"Wenn Bananen altern, werden sie matschig und schließlich faulig.",assessment,Bananas,Micha Gattinger,2020-08-05,2020-08-22,
32,Optimale Lagerbedingungen,,"Unter optimalen Bedingungen können Bananen je nach Reifegrad bis 10 Tage gelagert werden. Optimale Bedingungen sind:

* Verkaufsverpackung entfernen
* Schatten
* Zimmertemperatur
* braune Farbe ist o.k.
* unreife Banane nicht in den Kühlschrank
* Stiel/ Strunk mit z.B Frischhaltefolie umwickeln
* am Stiel / Strunk aufhängen
* nicht mit anderem Obst / Gemüse lagern da starke Absonderung des natürlichen Reifegases Ethylen

https://www.fritzganz.de/blog/2017/5/30/frischhalte-tricks-fr-bananen[Quelle]",pantry_storage,Bananas,Micha Gattinger,2020-08-05,2020-08-22,
33,Optische Veränderungen,,"Wenn Bananen altern, werden sie matschig oder faulig.",assessment,Fresh pears,Micha Gattinger,2020-08-05,2020-08-22,
34,Optimale Lagerbedingungen,,"Unter optimalen Bedingungen können Birnen je nach Sorte bis zu 2 Monaten gelagert werden. Kommerziell werden Birnen bei um 0 °C und 95% Luftfeuchte gelagert; im Haushalt sind zumindest ähnliche Bedingungen möglich. Gute Tipps dazu sind:

* abgepackt in Plastiktüten ermöglicht eine sauerstoffarme, kohlendioxidreiche Lagerung
* Löcher/ Schlitze in der Tüte ermöglicht den Wasseraustritt ( es darf sich kein Wasser innen an den Tüten bilden)
* nicht mit anderem Obst/ Gemüse lagern da starke Absonderung des natürlichen Reifegases Ethylen

https://www.gartenjournal.net/birnen-lagern[Quelle]",other_storage,Fresh pears,Micha Gattinger,2020-08-05,2020-08-22,
35,Optische Veränderungen,,"Wenn frischer Spinat oder Salat verdirbt, so welkt oder verfault er.",assessment,"Fresh spinachs
Lettuces",Micha Gattinger,2020-08-05,2020-08-22,
36,Nur wenige Tage,,"Kann im Kühlschrank gelagert werden, allerdings nur wenige Tage.",refrigerator_storage,"Fresh spinachs
Lettuces",Micha Gattinger,2020-08-05,2020-08-22,
37,Blanchieren,,Frischer Spinat und auch Blattsalate können blanchiert und dann eingefroren werden.,preservation,"Fresh spinachs
Lettuces",Micha Gattinger,2020-08-05,2020-08-22,
38,Optische Veränderungen,,"Wenn frische Bohnen oder Erbsen altern und verderben, so verfaulen sie.",assessment,"Fresh green beans
Peas",Micha Gattinger,2020-08-05,2020-08-22,"Add category “Fresh peas”, once available in Open Food Facts."
39,Optimale Lagerbedingungen,,"Selbst unter optimalen Bedingungen sind frische Erbsen und Bohnen nur wenige Tage lagerfähig. Optimale Bedingungen sind:

* aus Verkaufsverpackung entfernen
* roh lagern, nicht kochen
* in ein feuchtes Tuch einschlagen
* grob säubern aber nicht waschen
* 8 °C Lagertemeratur im Kühlschrank

https://www.gartenjournal.net/gruene-bohnen-lagern[Quelle]",refrigerator_storage,"Fresh green beans
Peas",Micha Gattinger,2020-08-05,2020-08-22,"Add category “Fresh peas”, once available in Open Food Facts."
40,Optische Veränderungen,,"Wenn Erdbeeren verderben, so werden sie matschig und verfaulen. Auch Schimmelbefall ist möglich.",assessment,Fresh strawberries,Micha Gattinger,2020-08-05,2020-08-22,
41,2-7 Tage im Kühlschrank,,"Unter optimalen Bedingungen sind Erdbeeren 2-7 Tage lagerfähig. Optimale Bedingungen sind:

* atmungsaktive Verpackung aus z.B. Pappe / Holzspan
* erst unmittelbar vor dem Verzehr waschen
* dunkel bei 8 Grad
* mit Teller oder Schüssel abdecken
* nicht quetschen",refrigerator_storage,Fresh strawberries,Micha Gattinger,2020-08-05,2020-08-22,
42,Nicht zum Einfrieren geeignet,,Erdbeeren eignen sich nicht zum Einfrieren aufgrund ihres hohen Wassergehalts. Sie werden beim Auftauen matschig.,freezer_storage,Fresh strawberries,Micha Gattinger,2020-08-05,2020-08-22,
43,Optische Veränderungen,,"Wenn frischer Fenchel und frischer Kohlrabi altern und verderben, so werden sie runzelig und verfaulen.",assessment,"Fennel bulbs
Raw cabbage turnips",Micha Gattinger,2020-08-05,2020-08-22,"Add category “Raw Kohlrabi”, once available in Open Food Facts. Currently only “Boiled kohlrabi” is available."
44,Optimale Lagerbedingungen,,"Unter optimalen Bedingungen kann Kohlrabi bis zu 2 Wochen gelagert werden. Optimale Bedingungen sind:

* in feuchtes Tuch einwickeln
* dunkel und trocken
* 8 °C Lagertemperatur",other_storage,"Fennel bulbs
Raw cabbage turnips",Micha Gattinger,2020-08-05,2020-08-22,"Add category “Raw Kohlrabi”, once available in Open Food Facts. Currently only “Boiled kohlrabi” is available."
45,Optische Veränderungen,,"Bei Alterung und Verderb zeigen sich folgende Veränderungen:

* wird weich, welk und runzelig
* fleckig und gelb (z.B. durch Kälte)
* verfault",assessment,"Fresh cucumbers
Sweet peppers
Fresh zucchini
Fresh aubergines",Micha Gattinger,2020-08-05,2020-08-22,
46,Optimale Lagerbedingungen,,"Können unter optimalen Bedingungen bis zu 2 Wochen gelagert werden, je nach Reifegrad:

* Temperatur 8 - 15 °C
* schattig und luftig
* auf weichem, trockenem Untergrund
* nebeneinander in z.B. einem geflochtenem Korb",pantry_storage,"Fresh cucumbers
Sweet peppers
Fresh zucchini
Fresh aubergines",Micha Gattinger,2020-08-05,2020-08-22,
47,Nicht zum Einfrieren geeignet,,Eignen sich aufgrund des hohen Wasseranteils nicht zum Einfrieren (werden beim Auftauen matschig).,freezer_storage,"Fresh cucumbers
Sweet peppers
Fresh zucchini
Fresh aubergines",Micha Gattinger,2020-08-05,2020-08-22,
48,Optische Veränderungen,,"Bei Alterung und Verderb zeigen sich folgende Veränderungen:

* wird weich
* wird runzelig
* verfault",assessment,Fresh kiwifruits,Micha Gattinger,2020-08-05,2020-08-22,
49,Optimale Lagerung,,"Kiwis können bei opimalen Bedingungen ca. 10 Wochen gelagert werden:

* 8-10 °C
* dunkel
* einschichtig in z.B. Holzkisten
* regelmäßig schlechte Kiwis aussortieren

https://www.gartentipps.com/kiwis-lagern-so-machen-sie-es-richtig.html[Quelle]",pantry_storage,Fresh kiwifruits,Micha Gattinger,2020-08-05,2020-08-22,
50,Veränderungen bei Alterung,,"Wenn frische Knoblauchzehen altern und verderben, zeigen sich folgende Veränderungen:

* Sprossenbildung
* werden weich
* verfaulen",assessment,Garlic,Micha Gattinger,2020-08-05,2020-08-22,
51,Optimale Lagerbedingungen,,"Knoblauchzehen sind anspruchslos. Unter optimalen Bedingungen können sie bis zu 12 Monaten gelagert werden:

* trocken und lichtgeschützt
* 15 - 20 °C
* in einem Netz
* nicht zusammen mit Obst lagern

https://de.wikihow.com/Frischen-Knoblauch-lagern[Quelle]",pantry_storage,Garlic,Micha Gattinger,2020-08-05,2020-08-22,
52,Optische Veränderungen,,"Wenn Kohl altert und verdirbt, zeigen sich folgende Veränderungen:

* Verfärbungen an den Rosen und Blättern
* wird weich
* Blätter werden locker
* verfault",assessment,Fresh cabbages,Micha Gattinger,2020-08-05,2020-08-22,
53,Optimale Lagerung,,"Kohl ist anspruchslos und kann lange gelagert werden. Optimale Bedingungen sind:

* möglichst natürlich kühl und dunkel, z.B. Keller / Schuppen etc.
* äußere Blätter dienen als Schutz vor Austrocknung
* kopfüber hängend lagern (so kann sich kein Wasser sammeln, Schimmel wird unterbunden)
* alternativ auf trockenem Laub lagern

https://www.emsa.com/blog/wanted-der-ideale-ort-zum-kohl-lagern-so-bleibt-er-laenger-frisch/[Quelle]",pantry_storage,Fresh cabbages,Micha Gattinger,2020-08-05,2020-08-22,
54,Veränderungen bei Alterung,,"Wenn Kürbis altert und verdirbt, zeigen sich folgende Veränderungen:

* wird weich / matschig
* verfault",assessment,Fresh pumpkins,Micha Gattinger,2020-08-05,2020-08-22,
55,Optimale Lagerung,,"Kürbis kann unter optimalen Bedingungen bis zu 12 Monaten gelagert werden.

. Nachreifen bei ca. 20 Grad auf einer trockenen Unterlage, dabei regelmäßig wenden, bis:
** eine intensive orange-rote Farbe vorhanden ist
** der Stiel verholzt/ eingetrocknet ist
** kein Einritzen der Schale durch z.B. den Fingernagel möglich ist
** hohler Klang beim Klopfen entsteht

. Einlagern:
** bei 12-15 Grad
** luftiger, dunkler und trockener Ort
** Druckstellen vermeiden (Netz); bei Lagerung in einer Holzkiste regelmäßig wenden

https://www.plantura.garden/leserfragen-2/gemuese/kuerbis-ernten-und-lagern-tipps-zu-erntezeit-haltbarmachen[Quelle]",pantry_storage,Fresh pumpkins,Micha Gattinger,2020-08-05,2020-08-22,
56,Veränderungen bei Alterung,,"Wenn frischer Lauch altert und verdirbt, zeigen sich folgende Veränderungen:

* wird weich
* bekommt Flecken
* verfault",assessment,Leeks,Micha Gattinger,2020-08-05,2020-08-22,"Add category “Fresh leeks”, once available in Open Food Facts."
57,Optimale Lagerung,,"Unter optimalen Bedingungen ist frischer Lauch ca. 4 Wochen lagerfähig:

* kühl, dunkel und trocken bei 8-10 °C
* aufhängen
* nicht zusammen mit aromaempfindlichen Nahrungsmittel lagern",pantry_storage,Leeks,Micha Gattinger,2020-08-05,2020-08-22,"Add category “Fresh leeks”, once available in Open Food Facts."
